,Observation id(s),Convectional name
0,"['00033517001', '00033517002', '00033517003']",C_2013US10
1,"['00033518001', '00033518002', '00033518003']",C_2013US10
2,"['00033554001', '00033554002', '00033554003']",C_2013US10
3,"['00033555001', '00033555002', '00033555003']",C_2013US10
4,"['00033757002', '00033757003', '00033757004']",C_2013US10
5,"['00033758001', '00033758002', '00033758003']",C_2013US10
6,"['00033759001', '00033759002', '00033759003', '00033759004']",C_2013US10
7,"['00033760001', '00033760002', '00033760003']",C_2013US10
8,"['00034316001', '00034316002']",C_2013US10
9,['00034317001'],C_2013US10
10,"['00034318001', '00034318002', '00034318003', '00034318004', '00034318005']",C_2013US10
11,"['00034319001', '00034319002']",C_2013US10
12,['00034320001'],C_2013US10
13,"['00034686001', '00034686002', '00034686003']",C_2013US10
14,"['00034687001', '00034687002', '00034687003']",C_2013US10
15,"['00034688001', '00034688002', '00034688003']",C_2013US10
